customer_id,name,dob,pan,income
100001,ARUNIMA KARI,09/02/2004,FLIMA6161F,1200000
100002,BARKHA SETTY,23/01/1963,LKHEZ7471W,850000
100003,NAKUL DOSHI,10/08/1985,HEUZT3916E,1800000
100004,BAGHYAWATI DANI,31/08/1975,CQMUT8940X,950000
100005,HARINAKSHI MUNSHI,10/05/1968,ACHIB9618A,2200000
100006,GIRINDRA RATTAN,07/11/1961,ZBXWK7032B,780000
100007,AMRUTA MUKHOPADHYAY,23/09/1971,OKNIN9222Y,1500000
100008,YATAN ANDRA,12/05/2002,NZOQC3018Q,650000
100009,BALENDRA VISWANATHAN,08/09/1994,OQASP7854O,1400000
100010,VARSHA GILL,06/08/1977,BJQKZ6817U,900000
100011,POOJA TANK,27/10/1975,LTSYL5004T,1100000
100012,TANVI HEGDE,24/01/1986,MVPZT7260T,1700000
100013,CHRISTOPHER BARIA,15/12/1987,TKQVC2611J,1300000
100014,TARA DIN,23/01/1980,FWUUD7360L,890000
100015,PUSHTI KUMER,10/05/1964,BZKBK8915V,760000
100016,TURVI AURORA,11/12/1985,ATLCI9949Q,1950000
100017,ABDUL DUGAL,15/08/1976,TRITB9143Z,1020000
100018,SHAURYA RASTOGI,16/10/1991,UXIGH6235U,2500000
100019,JASON CHAUHAN,24/04/1966,CACAT2109O,810000
100020,ISAAC SANDAL,23/09/1979,HKQME9829E,980000
100021,OLIVER KARI,02/10/1994,LOAXW2259M,1750000
100022,PRIYA KARA,03/09/1965,LFZQP1837A,870000
100023,BALVEER LUTHRA,01/06/1973,XQODZ4713M,1320000
100024,VASANA KARAN,21/03/2005,ZTOFL2554Y,620000
100025,CHRISTOPHER MALL,24/04/1974,DSWCD2647S,1850000
100026,OSHA JOHAL,02/07/1967,VVVUR1035E,920000
100027,CHAMPAK KEER,15/10/1999,WPTDB1244O,710000
100028,UCCHAL GOEL,15/08/1984,AUUCJ8597J,1600000
100029,SAANVI CHEEMA,21/08/2001,KKLKB2907K,990000
100030,ANITA RAO,29/06/1974,ZTJXT3858L,1460000
100031,GAGAN DUGAR,27/06/1968,XHQEL8189L,840000
100032,MASON BHATTACHARYYA,06/05/1982,TAWKQ8212C,1550000
100033,NITARA GUHA,03/12/2000,WWABK2912S,680000
100034,EIRAVATI KARNIK,09/06/2002,YPZHM6103U,720000
100035,KALA TANK,10/03/1975,DBQKS7295B,1050000
100036,YASHAWINI RAM,03/09/2004,WKVGW6782P,590000
100037,HEMA DASH,07/08/1981,DFBSO8289X,1420000
100038,DAMYANTI KAUL,12/06/1985,XPHYK7395W,2100000
100039,ODIKA RAO,17/08/2007,DZFJW8802M,480000
100040,MADHAV MAMMEN,16/01/1997,BHMQM8711X,1690000
100041,QUINCY KURIAN,28/05/2004,IHZWA1317O,610000
100042,SUHANI GROVER,19/02/1985,REPOG2805R,1360000
100043,YUVRAJ SWAMY,18/05/2000,MIARQ5478H,970000
100044,VANSHA WALIA,01/01/1980,VBQXP2929Q,1230000
100045,HRITIK BANDI,24/02/1971,PKUGD7102B,940000
100046,VIRAJ SARKAR,17/04/1997,YFVDO1751G,1710000
100047,VRISHTI GARA,23/12/1970,XKKXS5274G,1150000
100048,ISHAAN CHEEMA,28/06/1965,MTQQR9166A,880000
100049,ABEER KALITA,31/08/1970,AJZCE9462U,1620000
100050,UCCHAL GOYAL,03/07/1995,VRVRL3246T,1920000
