customer_id,full_name,dob,national_id,address,phone,email,pep_flag,sanctions_flag,income_monthly
CUST_1001,Customer 1,1990-12-09,ID00001,Bangalore,+91-9800000001,cust1@mail.com,0,0,59184
CUST_1002,Customer 2,1992-12-04,ID00002,Kolkata,+91-9800000002,cust2@mail.com,0,0,88513
CUST_1003,Customer 3,1999-07-02,ID00003,Mumbai,+91-9800000003,cust3@mail.com,0,0,52790
CUST_1004,Customer 4,1993-04-17,ID00004,Chennai,+91-9800000004,cust4@mail.com,0,0,54561
CUST_1005,Customer 5,1998-04-23,ID00005,Kolkata,+91-9800000005,cust5@mail.com,0,0,36956
CUST_1006,Customer 6,1993-08-19,ID00006,Hyderabad,+91-9800000006,cust6@mail.com,0,0,139974
CUST_1007,Customer 7,1992-12-14,ID00007,Ahmedabad,+91-9800000007,cust7@mail.com,0,0,31703
CUST_1008,Customer 8,1992-04-25,ID00008,Ahmedabad,+91-9800000008,cust8@mail.com,0,0,102842
CUST_1009,Customer 9,1991-07-04,ID00009,Ahmedabad,+91-9800000009,cust9@mail.com,0,0,56793
CUST_1010,Customer 10,1999-05-26,ID00010,Mumbai,+91-9800000010,cust10@mail.com,0,0,120165
CUST_1011,Customer 11,1998-02-13,ID00011,Pune,+91-9800000011,cust11@mail.com,0,0,150435
CUST_1012,Customer 12,1994-11-20,ID00012,Ahmedabad,+91-9800000012,cust12@mail.com,0,0,174714
CUST_1013,Customer 13,1991-01-22,ID00013,Bangalore,+91-9800000013,cust13@mail.com,0,0,80407
CUST_1014,Customer 14,1991-04-28,ID00014,Pune,+91-9800000014,cust14@mail.com,0,0,105861
CUST_1015,Customer 15,1994-08-21,ID00015,Ahmedabad,+91-9800000015,cust15@mail.com,0,0,129647
CUST_1016,Customer 16,1995-06-07,ID00016,Hyderabad,+91-9800000016,cust16@mail.com,0,0,72638
CUST_1017,Customer 17,1999-11-06,ID00017,Kolkata,+91-9800000017,cust17@mail.com,0,0,48717
CUST_1018,Customer 18,1992-08-13,ID00018,Hyderabad,+91-9800000018,cust18@mail.com,0,0,94175
CUST_1019,Customer 19,1993-11-11,ID00019,Mumbai,+91-9800000019,cust19@mail.com,0,0,176001
CUST_1020,Customer 20,1990-06-13,ID00020,Hyderabad,+91-9800000020,cust20@mail.com,0,0,90043
CUST_1021,Customer 21,1993-10-23,ID00021,Ahmedabad,+91-9800000021,cust21@mail.com,0,0,47350
CUST_1022,Customer 22,1997-07-21,ID00022,Nagpur,+91-9800000022,cust22@mail.com,0,0,85738
CUST_1023,Customer 23,1994-03-08,ID00023,Kolkata,+91-9800000023,cust23@mail.com,0,0,67452
CUST_1024,Customer 24,1994-12-19,ID00024,Surat,+91-9800000024,cust24@mail.com,0,0,171289
CUST_1025,Customer 25,1995-04-05,ID00025,Kolkata,+91-9800000025,cust25@mail.com,1,0,134700
CUST_1026,Customer 26,1991-01-28,ID00026,Pune,+91-9800000026,cust26@mail.com,0,0,159372
CUST_1027,Customer 27,1992-11-14,ID00027,Chennai,+91-9800000027,cust27@mail.com,0,0,70066
CUST_1028,Customer 28,1996-07-20,ID00028,Nagpur,+91-9800000028,cust28@mail.com,0,0,46653
CUST_1029,Customer 29,1994-09-28,ID00029,Mumbai,+91-9800000029,cust29@mail.com,0,0,168704
CUST_1030,Customer 30,1998-05-25,ID00030,Ahmedabad,+91-9800000030,cust30@mail.com,0,0,60029
CUST_1031,Customer 31,1994-07-06,ID00031,Nagpur,+91-9800000031,cust31@mail.com,0,0,59242
CUST_1032,Customer 32,1994-09-25,ID00032,Delhi,+91-9800000032,cust32@mail.com,0,0,30850
CUST_1033,Customer 33,1991-11-10,ID00033,Kolkata,+91-9800000033,cust33@mail.com,0,0,163085
CUST_1034,Customer 34,1992-06-25,ID00034,Delhi,+91-9800000034,cust34@mail.com,0,0,82143
CUST_1035,Customer 35,1998-01-20,ID00035,Ahmedabad,+91-9800000035,cust35@mail.com,0,0,171394
CUST_1036,Customer 36,1990-02-12,ID00036,Hyderabad,+91-9800000036,cust36@mail.com,0,0,158085
CUST_1037,Customer 37,1990-04-19,ID00037,Pune,+91-9800000037,cust37@mail.com,0,0,92770
CUST_1038,Customer 38,1997-02-25,ID00038,Kolkata,+91-9800000038,cust38@mail.com,0,0,52453
CUST_1039,Customer 39,1992-11-16,ID00039,Kolkata,+91-9800000039,cust39@mail.com,0,0,62967
CUST_1040,Customer 40,1994-09-28,ID00040,Chennai,+91-9800000040,cust40@mail.com,0,1,73287
CUST_1041,Customer 41,1993-09-25,ID00041,Bangalore,+91-9800000041,cust41@mail.com,0,0,140923
CUST_1042,Customer 42,1996-11-21,ID00042,Ahmedabad,+91-9800000042,cust42@mail.com,0,0,111714
CUST_1043,Customer 43,1998-08-04,ID00043,Bangalore,+91-9800000043,cust43@mail.com,0,0,144845
CUST_1044,Customer 44,1991-06-01,ID00044,Chennai,+91-9800000044,cust44@mail.com,0,0,88903
CUST_1045,Customer 45,1993-10-08,ID00045,Mumbai,+91-9800000045,cust45@mail.com,0,0,175207
CUST_1046,Customer 46,1990-04-03,ID00046,Mumbai,+91-9800000046,cust46@mail.com,0,0,48610
CUST_1047,Customer 47,1991-09-08,ID00047,Hyderabad,+91-9800000047,cust47@mail.com,0,0,116619
CUST_1048,Customer 48,1993-09-05,ID00048,Chennai,+91-9800000048,cust48@mail.com,0,0,157248
CUST_1049,Customer 49,1993-08-26,ID00049,Surat,+91-9800000049,cust49@mail.com,0,0,153907
CUST_1050,Customer 50,1991-02-22,ID00050,Surat,+91-9800000050,cust50@mail.com,1,0,79914
CUST_1051,Customer 51,1996-07-15,ID00051,Mumbai,+91-9800000051,cust51@mail.com,0,0,122876
CUST_1052,Customer 52,1990-07-24,ID00052,Ahmedabad,+91-9800000052,cust52@mail.com,0,0,55799
CUST_1053,Customer 53,1993-04-07,ID00053,Kolkata,+91-9800000053,cust53@mail.com,0,0,58644
CUST_1054,Customer 54,1992-07-06,ID00054,Hyderabad,+91-9800000054,cust54@mail.com,0,0,147601
CUST_1055,Customer 55,1993-02-15,ID00055,Kolkata,+91-9800000055,cust55@mail.com,0,0,151275
CUST_1056,Customer 56,1990-11-18,ID00056,Mumbai,+91-9800000056,cust56@mail.com,0,0,55666
CUST_1057,Customer 57,1993-03-14,ID00057,Nagpur,+91-9800000057,cust57@mail.com,0,0,54448
CUST_1058,Customer 58,1993-07-02,ID00058,Delhi,+91-9800000058,cust58@mail.com,0,0,156185
CUST_1059,Customer 59,1990-07-09,ID00059,Nagpur,+91-9800000059,cust59@mail.com,0,0,129345
CUST_1060,Customer 60,1996-12-24,ID00060,Kolkata,+91-9800000060,cust60@mail.com,0,0,104776
CUST_1061,Customer 61,1992-04-10,ID00061,Bangalore,+91-9800000061,cust61@mail.com,0,0,157577
CUST_1062,Customer 62,1999-12-18,ID00062,Mumbai,+91-9800000062,cust62@mail.com,0,0,45331
CUST_1063,Customer 63,1990-01-19,ID00063,Nagpur,+91-9800000063,cust63@mail.com,0,0,112209
CUST_1064,Customer 64,1998-03-02,ID00064,Kolkata,+91-9800000064,cust64@mail.com,0,0,161819
CUST_1065,Customer 65,1992-02-20,ID00065,Pune,+91-9800000065,cust65@mail.com,0,0,51000
CUST_1066,Customer 66,1996-02-19,ID00066,Bangalore,+91-9800000066,cust66@mail.com,0,0,91657
CUST_1067,Customer 67,1999-02-14,ID00067,Chennai,+91-9800000067,cust67@mail.com,0,0,40418
CUST_1068,Customer 68,1998-06-09,ID00068,Bangalore,+91-9800000068,cust68@mail.com,0,0,178170
CUST_1069,Customer 69,1993-05-13,ID00069,Delhi,+91-9800000069,cust69@mail.com,0,0,112361
CUST_1070,Customer 70,1997-06-25,ID00070,Pune,+91-9800000070,cust70@mail.com,0,0,108642
CUST_1071,Customer 71,1997-10-19,ID00071,Pune,+91-9800000071,cust71@mail.com,0,0,32441
CUST_1072,Customer 72,1998-04-17,ID00072,Hyderabad,+91-9800000072,cust72@mail.com,0,0,49204
CUST_1073,Customer 73,1995-02-08,ID00073,Ahmedabad,+91-9800000073,cust73@mail.com,0,0,64722
CUST_1074,Customer 74,1992-08-27,ID00074,Kolkata,+91-9800000074,cust74@mail.com,0,0,104707
CUST_1075,Customer 75,1999-11-17,ID00075,Mumbai,+91-9800000075,cust75@mail.com,1,0,109303
CUST_1076,Customer 76,1994-11-04,ID00076,Delhi,+91-9800000076,cust76@mail.com,0,0,175385
CUST_1077,Customer 77,1991-02-24,ID00077,Kolkata,+91-9800000077,cust77@mail.com,0,0,99328
CUST_1078,Customer 78,1994-05-20,ID00078,Bangalore,+91-9800000078,cust78@mail.com,0,0,70749
