ocr_text,name,matched_name,transactions,pep_flag,sanctions_flag
"Name: Vihaan Verma
DOB: 08/07/1985
PAN: RRFPY7902M",Vihaan Verma,Vihaan Verma,"[{'amount': 84254, 'type': 'credit', 'mode': 'cash'}, {'amount': 27664, 'type': 'debit', 'mode': 'card'}, {'amount': 25472, 'type': 'credit', 'mode': 'upi'}, {'amount': 92923, 'type': 'credit', 'mode': 'cash'}]",0,1
"Name: Ishaan Gupta
DOB: 08/03/1996
PAN: JHRBR8102C",Ishaan Gupta,Ishaan Gupta,"[{'amount': 14337, 'type': 'debit', 'mode': 'cash'}, {'amount': 70562, 'type': 'debit', 'mode': 'cash'}, {'amount': 62396, 'type': 'credit', 'mode': 'cash'}, {'amount': 57246, 'type': 'credit', 'mode': 'salary'}]",1,0
"Name: Saanvi Reddy
DOB: 04/10/2002
PAN: BXVQP1927H",Saanvi Reddy,Saanvi Reddy,"[{'amount': 94875, 'type': 'credit', 'mode': 'card'}, {'amount': 19917, 'type': 'debit', 'mode': 'salary'}, {'amount': 59393, 'type': 'credit', 'mode': 'cash'}]",0,0
"Name: Saanvi Joshi
DOB: 12/05/1985
PAN: QEPTU5009N",Saanvi Joshi,Saanvi Joshi,"[{'amount': 92720, 'type': 'debit', 'mode': 'card'}, {'amount': 54376, 'type': 'debit', 'mode': 'salary'}]",1,0
"Name: Vihaan Sharma
DOB: 10/10/1995
PAN: NFUYK6157W",Vihaan Sharma,Vihaan Sharma,"[{'amount': 60123, 'type': 'debit', 'mode': 'card'}, {'amount': 43922, 'type': 'credit', 'mode': 'upi'}, {'amount': 5296, 'type': 'credit', 'mode': 'cash'}]",0,1
"Name: Saanvi Iyer
DOB: 01/11/1986
PAN: ARVPI4563N",Saanvi Iyer,Saanvi Iyer,"[{'amount': 22398, 'type': 'credit', 'mode': 'card'}, {'amount': 99633, 'type': 'debit', 'mode': 'card'}]",0,0
"Name: Saanvi Joshi
DOB: 22/08/1994
PAN: VWPUH5734M",Saanvi Joshi,Saanvi Joshi,"[{'amount': 93598, 'type': 'credit', 'mode': 'cash'}, {'amount': 79926, 'type': 'credit', 'mode': 'salary'}, {'amount': 83970, 'type': 'debit', 'mode': 'card'}, {'amount': 71701, 'type': 'credit', 'mode': 'salary'}, {'amount': 96057, 'type': 'credit', 'mode': 'upi'}]",1,0
"Name: Vihaan Mehta
DOB: 23/03/2002
PAN: UCQMI1767P",Vihaan Mehta,Vihaan Mehta,"[{'amount': 85480, 'type': 'credit', 'mode': 'card'}, {'amount': 37900, 'type': 'debit', 'mode': 'cash'}]",0,0
"Name: Diya Verma
DOB: 26/10/1990
PAN: BUMFJ9262J",Diya Verma,Diya Verma,"[{'amount': 16507, 'type': 'debit', 'mode': 'card'}, {'amount': 63898, 'type': 'debit', 'mode': 'cash'}, {'amount': 21800, 'type': 'credit', 'mode': 'cash'}]",0,0
"Name: Aryan Gupta
DOB: 10/01/1981
PAN: PXWVG5244D",Aryan Gupta,Aryan Gupta,"[{'amount': 55627, 'type': 'credit', 'mode': 'upi'}, {'amount': 58197, 'type': 'debit', 'mode': 'salary'}]",0,0
"Name: Aarav Patel
DOB: 13/03/2002
PAN: FHITP8214V",Aarav Patel,Aarav Patel,"[{'amount': 88284, 'type': 'debit', 'mode': 'upi'}, {'amount': 27460, 'type': 'debit', 'mode': 'upi'}]",0,0
"Name: Ananya Sharma
DOB: 15/07/1995
PAN: OTDWT4486U",Ananya Sharma,Ananya Sharma,"[{'amount': 80402, 'type': 'debit', 'mode': 'salary'}, {'amount': 52737, 'type': 'debit', 'mode': 'upi'}]",1,0
"Name: Saanvi Patel
DOB: 23/05/1985
PAN: XSAAY3646H",Saanvi Patel,Saanvi Patel,"[{'amount': 46514, 'type': 'credit', 'mode': 'cash'}, {'amount': 67900, 'type': 'debit', 'mode': 'salary'}]",0,0
